Position,Company,Location,URL[글로벌보안본부] 웹 플랫폼 개발자의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=f9170718f69ca29e&fccid=aba87288e4cc3687&vjs=3
[23년 2분기] 백엔드(Python  Java) 엔지니어의 전체 세부 정보,액스,서울 서초구,https://kr.indeed.com/rc/clk?jk=8ee2ada11e63fc61&fccid=5013eca338141e7d&vjs=3
중앙대학교 교직원(행정직) (일반행정/전문분야)의 전체 세부 정보,중앙대학교,서울 동작구,https://kr.indeed.com/rc/clk?jk=ac6a185eb45207f7&fccid=9958222978be4d35&vjs=3
2023년 연구소 신규 개발 신입의 전체 세부 정보,오아시스솔루션,서울 서초구,https://kr.indeed.com/rc/clk?jk=785b8c7241c251eb&fccid=2ed4fcfc1dde71a2&vjs=3
백엔드 개발자(인턴십)의 전체 세부 정보,액스,서울 서초구,https://kr.indeed.com/rc/clk?jk=b7223c792bfcbcd4&fccid=5013eca338141e7d&vjs=3
Python 개발자 정규직의 전체 세부 정보,시큐어키,서울 금천구,https://kr.indeed.com/rc/clk?jk=e7e8d07574843466&fccid=8d12eb6f6e6848d3&vjs=3
2023년 DIgital Lab 전문계약직 상시의 전체 세부 정보,GS칼텍스,서울 강남구,https://kr.indeed.com/rc/clk?jk=2e45e43017a6ea1f&fccid=f152288f3dcf6e51&vjs=3
데이터 분석 및 모델 개발 (신입/경력)의 전체 세부 정보,네피리티,서울 서초구,https://kr.indeed.com/rc/clk?jk=b8022a40b5d69f0f&fccid=c19d960df8608057&vjs=3
AI 연구원의 전체 세부 정보,자이언트스텝,서울 강남구,https://kr.indeed.com/rc/clk?jk=d103b42a1f428360&fccid=d9feddeccf39e847&vjs=3
빅데이터플랫폼 / Python 개발자의 전체 세부 정보,핸디소프트,안양 동안구,https://kr.indeed.com/rc/clk?jk=3af3cac46966cc13&fccid=d22d7c6a99de76b6&vjs=3
Python(Django) 개발자 (5년 이상)의 전체 세부 정보,아테나스랩,서울 마포구,https://kr.indeed.com/rc/clk?jk=563739f55332205c&fccid=f7418ec5d47158aa&vjs=3
[비에이코리아 주식회사] 데이터분석가(Business Data Analyst) 신입/경력의 전체 세부 정보,비에이코리아,서울,https://kr.indeed.com/rc/clk?jk=1dc91764525277cc&fccid=4c13ec332a36c73a&vjs=3
[nasmedia] 2023년 6월 nasmedia의 전체 세부 정보,나스미디어,서울 강남구,https://kr.indeed.com/rc/clk?jk=9cb2d20994345cee&fccid=ffeb1fa02eefd475&vjs=3
그룹공동 마이데이터 분석 플랫폼(데이터분석가)의 전체 세부 정보,KB데이타시스템,서울 마포구,https://kr.indeed.com/rc/clk?jk=25b3c3e6a66bd77c&fccid=fe227fbd2afb9580&vjs=3
딥러닝 AI 개발 연구원의 전체 세부 정보,베이리스,성남 수정구,https://kr.indeed.com/rc/clk?jk=87309d3ff40ead61&fccid=ce871e9e4a9f430a&vjs=3
데이터 개발자 및 빅데이터 외 신입의 전체 세부 정보,애크미랩,서울 강남구,https://kr.indeed.com/rc/clk?jk=277b1479621c4dcc&fccid=7d08c55041404b21&vjs=3
OpenCV/MATLAB/TensorFlow/Python/C/C++/Linux 알고리즘 엔지니어의 전체 세부 정보,더마미러,서울 서초구,https://kr.indeed.com/rc/clk?jk=2542fd125137ba4f&fccid=f401a9b533c97602&vjs=3
엔셀주식회사 SW개발자(솔루션/Web/풀스택)의 전체 세부 정보,엔셀,성남 분당구,https://kr.indeed.com/rc/clk?jk=8253349e19b31537&fccid=c59ef9b756f9ad5c&vjs=3
[한국 휴렛팩커드] Determined AI - Customer Engineer (부장급)의 전체 세부 정보,한국휴렛팩커드 유한회사,서울 영등포구,https://kr.indeed.com/rc/clk?jk=1046d269111a1050&fccid=453a1d72c82baf2d&vjs=3
Cloud Engineer  Big Data and Analytics  Google Cloud의 전체 세부 정보,Google,서울,https://kr.indeed.com/rc/clk?jk=69c3e99cb3fd2e8d&fccid=a5b4499d9e91a5c6&vjs=3
기술 인턴 인공지능 응용 연구/개발 인턴의 전체 세부 정보,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3
[하남풍산역] 이커머스회사 Python개발(PM)의 전체 세부 정보,시니어앤파트너즈,경기도 하남,https://kr.indeed.com/rc/clk?jk=c18a9442ddb439e5&fccid=59060ddcdf96b101&vjs=3
B2C 백엔드 엔지니어(Python) - 크레딧플래닛의 전체 세부 정보,피플펀드컴퍼니,서울 서초구,https://kr.indeed.com/rc/clk?jk=c2fa79aa25e7a83d&fccid=10d9fdf90a5a21a4&vjs=3
2023년 (주)하람아이 AI팀의 전체 세부 정보,하람아이,성남 수정구,https://kr.indeed.com/rc/clk?jk=f1a40936df480707&fccid=5d0ea4093a1ed598&vjs=3
[데브시스터즈] DevOps Engineer (신입)의 전체 세부 정보,데브시스터즈,서울 강남구,https://kr.indeed.com/rc/clk?jk=3058f7280a2e6644&fccid=58a9a803698a0afd&vjs=3
2023년 2차 신입 공개 SW 개발 (사전 지원)의 전체 세부 정보,파수,서울 마포구,https://kr.indeed.com/rc/clk?jk=0f0ab1cb22bcb02e&fccid=6de9ce9e1182943d&vjs=3
클라우드 플랫폼 운영 엔지니어의 전체 세부 정보,NHN Enterprise,성남 판교역,https://kr.indeed.com/rc/clk?jk=40e20a58af1e44ee&fccid=cc378bd7bc831eca&vjs=3
빅데이터 센터 IT 직원채용의 전체 세부 정보,한림대학교의료원,대한민국,https://kr.indeed.com/rc/clk?jk=08b730ef9f08c6d2&fccid=4847df5d1e011e9b&vjs=3
건국대학교 교육성과관리센터 전문직(연구행정직)의 전체 세부 정보,건국대학교,서울 광진구,https://kr.indeed.com/rc/clk?jk=9f1921a56fecb3fc&fccid=eefd83ef2a2e294d&vjs=3
전문연구요원 (병역특례) 수시 (AI / SW 분야)의 전체 세부 정보,딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=d83fc0dd2641f483&fccid=e34932b8232a173b&vjs=3
[선행기술원] AI Data Scientist[책임연구원]의 전체 세부 정보,현대자동차그룹,성남 판교역,https://kr.indeed.com/rc/clk?jk=227799b436907962&fccid=980d6ecc399a3373&vjs=3
(계약직) 딥러닝 개발자의 전체 세부 정보,데이터메티카,성남 분당구,https://kr.indeed.com/rc/clk?jk=f4daa465dad61eca&fccid=d5985fb32423ad31&vjs=3
[공채] 2023년 3차 공개 제어설계 2개 부문 (6월25일 마감)의 전체 세부 정보,에스에프에이,경기도 화성,https://kr.indeed.com/rc/clk?jk=3dd84ebbd651d9d1&fccid=3fa03a9cab27a7ee&vjs=3
인공지능(AI)  딥러닝 외 신입/경력의 전체 세부 정보,스마디안,서울 관악구,https://kr.indeed.com/rc/clk?jk=651138f697fd4baf&fccid=c0029e119d17504c&vjs=3
진료운영실 Data Scientist 경력직의 전체 세부 정보,삼성병원,서울 강남구,https://kr.indeed.com/rc/clk?jk=e7e2aa94ff040e91&fccid=8a99289e1fab0c99&vjs=3
Python  JAVA 백엔드 개발자의 전체 세부 정보,주식회사 소프트랩스 관심기업,서울 가산동,https://kr.indeed.com/rc/clk?jk=29e22a2efce2715f&fccid=dd616958bd9ddc12&vjs=3
[데브시스터즈] Data Analyst의 전체 세부 정보,데브시스터즈,서울 강남구,https://kr.indeed.com/rc/clk?jk=6b53335986238646&fccid=58a9a803698a0afd&vjs=3
[모빌테크] SLAM 개발자 경력 (병역특례 전문연구요원 가능)의 전체 세부 정보,모빌테크,서울 서초구,https://kr.indeed.com/rc/clk?jk=d90667031b8c5d2e&fccid=b5cf24921581ae1e&vjs=3
[모빌테크] 센서 데이터 처리 연구원 (병역특례 전문연구요원 가능)의 전체 세부 정보,모빌테크,서울 서초구,https://kr.indeed.com/rc/clk?jk=e03dae43821354a3&fccid=b5cf24921581ae1e&vjs=3
JR0192526 SW engineer intern의 전체 세부 정보,인텔코리아,서울,https://kr.indeed.com/rc/clk?jk=83f4939522ffaa68&fccid=ded06d6a6799d929&vjs=3
[NHN Enterprise] 클라우드 플랫폼 운영 엔지니어의 전체 세부 정보,엔에이치엔엔터프라이즈,성남 분당구,https://kr.indeed.com/rc/clk?jk=90a7214a62825dba&fccid=c6959d0e760ece96&vjs=3
[2023 전문연구요원] AI R&D-Language AI의 전체 세부 정보,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=7da87f6985949b06&fccid=a1e4e21b1f33cf40&vjs=3
웹개발  프론트엔드 신입/경력 계약직의 전체 세부 정보,뮤레파코리아,성남 수정구,https://kr.indeed.com/rc/clk?jk=f498a784c28d03bb&fccid=5fc71e9cbda0dfc6&vjs=3
[인텔리전스랩스] 데이터 분석가 (브랜드 가치 측정)의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=8cd3dab1d286bcd3&fccid=aba87288e4cc3687&vjs=3
인공지능 AI 개발자 정규직 경력의 전체 세부 정보,스펠릭스,서울 영등포구,https://kr.indeed.com/rc/clk?jk=499a887d25babecc&fccid=03af3eb9ca1a431a&vjs=3
대기업계열 모빌리티 데이터 분석 모델 개발 (신입/경력)의 전체 세부 정보,경연파트너스,서울 용산구,https://kr.indeed.com/rc/clk?jk=fc4ce8e7031b4ab0&fccid=0f76eb1d9acd6c10&vjs=3
[카트라이더: 드리프트] 유닛 플레이 프로그래머의 전체 세부 정보,니트로스튜디오,서울 강남구,https://kr.indeed.com/rc/clk?jk=cd2eda7359ae501f&fccid=3343bd3ef4658848&vjs=3
웹개발  백엔드 외 신입/경력 정규직의 전체 세부 정보,코인챗,서울 강남구,https://kr.indeed.com/rc/clk?jk=e3f3b7e2103d9bc7&fccid=e60f835b4d91f8e6&vjs=3
[전문연구요원] 머신러닝/인공지능 연구원 (에이엠스퀘어)의 전체 세부 정보,에이엠스퀘어,성남 수정구,https://kr.indeed.com/rc/clk?jk=c1078c38637c10d7&fccid=e03a48e020574ea5&vjs=3
[제약] 신약 분자설계 연구(선임/책임)의 전체 세부 정보,BOB네트웍스,성남 분당구,https://kr.indeed.com/rc/clk?jk=14d5f070330861c8&fccid=6c389097acd73020&vjs=3
2023 Software Engineering Intern  People with Disabilities (장애인 채용)의 전체 세부 정보,Google,서울,https://kr.indeed.com/rc/clk?jk=ed7b7e6eb72ffab8&fccid=a5b4499d9e91a5c6&vjs=3
IT Manager - Data Scientist의 전체 세부 정보,Procter & Gamble,서울,https://kr.indeed.com/rc/clk?jk=d646b6fdb341deec&fccid=2da0dedf6df97194&vjs=3
[선행기술원] Quantum Computing/Information[책임연구원]의 전체 세부 정보,현대자동차그룹,성남 판교역,https://kr.indeed.com/rc/clk?jk=e424415872777a5f&fccid=980d6ecc399a3373&vjs=3
2023년 6월 경력사원 모집 (AI기술/데이터분석/DX전략기획)의 전체 세부 정보,LG에너지솔루션,서울 영등포구,https://kr.indeed.com/rc/clk?jk=6cf480339527bb27&fccid=e3653632e61fd408&vjs=3
Cloud Engineer  Big Data and Analytics  Google Cloud의 전체 세부 정보,구글코리아,서울 강남구,https://kr.indeed.com/rc/clk?jk=6f954805d240b838&fccid=28712efe9a7c8d8a&vjs=3
[네이버계열사][NIT Service(주)] 네이버 파이낸셜 플랫폼 운영의 전체 세부 정보,엔아이티서비스,성남 분당구,https://kr.indeed.com/rc/clk?jk=2423a623313adf95&fccid=d389f1042b660837&vjs=3
2022년 상반기 주식회사 쏘마 전 개발 직군 (백엔드  프론트엔드 외 신입/경력 정규직)의 전체 세부 정보,쏘마,성남 분당구,https://kr.indeed.com/rc/clk?jk=13ef6f86810c0843&fccid=a3463f311ce6421e&vjs=3
Python 분석 인원 정규직 채용의 전체 세부 정보,(주)스마트모빌러티 관심기업,서울 휘경동,https://kr.indeed.com/rc/clk?jk=5e761f105a377ae8&fccid=307824036b9dcb17&vjs=3
[인텔리전스랩스] 리서치 사이언티스트 (NLP)의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=1fb373f19afe859a&fccid=aba87288e4cc3687&vjs=3
Analyst/Consultant  Real World Insights의 전체 세부 정보,IQVIA,서울,https://kr.indeed.com/rc/clk?jk=2e38aff16034de6e&fccid=6b7a1dfe07e7f037&vjs=3
AI 연구개발자 전문연구요원(병역특례)의 전체 세부 정보,라이트비전,서울 성동구,https://kr.indeed.com/rc/clk?jk=2ad683838d494617&fccid=e391d8e930358bac&vjs=3
개발자 - Python 서버 프로그램 개발의 전체 세부 정보,바인테크,서울 송파구,https://kr.indeed.com/rc/clk?jk=4cc15c26097421c5&fccid=aef44811e748bebe&vjs=3
[인텔리전스랩스] 부스트파트 백엔드 개발자 (Python/OpenSearch)의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=ba544406245b8cc4&fccid=aba87288e4cc3687&vjs=3
판교 연구소 필드 엔지니어(FAE/기술지원)의 전체 세부 정보,마젠타로보틱스,성남 분당구,https://kr.indeed.com/rc/clk?jk=df87d641ddfc4091&fccid=bd531d5a4d3825d6&vjs=3
2023년 하반기 사이냅소프트의 전체 세부 정보,사이냅소프트,서울 강서구,https://kr.indeed.com/rc/clk?jk=2d2b5caaae4fd4ba&fccid=0673ca84bc014599&vjs=3
Wi-Fi 소프트웨어 엔지니어 (신입/경력)의 전체 세부 정보,인피니언코리아,성남 분당구,https://kr.indeed.com/rc/clk?jk=acf2807bdb4705cb&fccid=50debe8434cd12fc&vjs=3
경력 / [개발] 데이터 분석(Data Analysis)의 전체 세부 정보,해줌,서울 송파구,https://kr.indeed.com/rc/clk?jk=8e27fa5585bfecf5&fccid=a2f5dce9440e4adf&vjs=3
[인텔리전스랩스] 리서치 사이언티스트 (생성 AI)의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=bc65f8eecb6eaee9&fccid=aba87288e4cc3687&vjs=3
클라우드 SaaS 개발자의 전체 세부 정보,맥스테드,서울 중구,https://kr.indeed.com/rc/clk?jk=dfa5ec9b9b7b0c1b&fccid=494124c067353efc&vjs=3
차량 제어SW 개발/PM 부문 경력의 전체 세부 정보,현대오토에버,서울 강남구,https://kr.indeed.com/rc/clk?jk=4c8efb405def32a5&fccid=d5a22a3e93377742&vjs=3
자율 주행  로봇 SW 개발자의 전체 세부 정보,에바,성남 수정구,https://kr.indeed.com/rc/clk?jk=e30fe92d72ceb17c&fccid=5cc87f5890bd7170&vjs=3
[전문연구요원] 의료영상 리서치 엔지니어 정규직의 전체 세부 정보,메디픽셀,서울 마포구,https://kr.indeed.com/rc/clk?jk=3544467a7b64376f&fccid=aba88c202493b8a5&vjs=3
Data Scientist (유관경력 4년 이상)  S그룹 경영컨설팅회사의 전체 세부 정보,코어포인트,서울,https://kr.indeed.com/rc/clk?jk=58c81ec67a6bad22&fccid=a71819ff34fb2d90&vjs=3
[선행기술원] 차량 총합상품성 평가 (정치/주행)[책임연구원]의 전체 세부 정보,현대자동차그룹,성남 판교역,https://kr.indeed.com/rc/clk?jk=b25ac5755f304c29&fccid=980d6ecc399a3373&vjs=3
[선행기술원] 수치해석 기법 개발 (시뮬레이션)[책임연구원]의 전체 세부 정보,현대자동차그룹,성남 판교역,https://kr.indeed.com/rc/clk?jk=e88a012377584fab&fccid=980d6ecc399a3373&vjs=3
Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack),OpenCraft,Anywhere in the World,https://kr.indeed.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
Senior/Staff Software Engineer - Backend/Python - USA (100% Remote),Close,USA Only,https://kr.indeed.com/remote-jobs/close-senior-staff-software-engineer-backend-python-usa-100-remote
Senior Backend Python Engineer: Long-term job - 100% remote,Proxify AB,Latin America Only/Europe Only/EMEA Only,https://kr.indeed.com/remote-jobs/proxify-ab-senior-backend-python-engineer-long-term-job-100-remote
Senior Python Engineer - Fully Remote,Supertab,Europe Only,https://kr.indeed.com/remote-jobs/supertab-senior-python-engineer-fully-remote
